amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
post_office,-9340102.231727872,4291888.992691105,35.9365117,-83.9035659,3,2
parking,-9341631.115878325,4296925.047451533,35.9731323,-83.9173001,3,0
fuel,-9360655.939681418,4290911.030582261,35.9293983,-84.088203,2,-1
atm,-9360649.371831462,4290891.921506684,35.9292593,-84.088144,2,-1
restaurant,-9361339.519278532,4288900.25266508,35.9147705,-84.0943437,2,3
restaurant,-9361150.20935249,4288973.101440784,35.9153005,-84.0926431,2,3
fast_food,-9360102.49256904,4288955.782631015,35.9151745,-84.0832313,2,3
restaurant,-9360339.703271976,4289196.599032288,35.9169265,-84.0853622,2,3
pharmacy,-9359865.114886876,4288598.980052793,35.9125786,-84.0810989,2,3
bank,-9359938.262924274,4288508.51330635,35.9119204,-84.081756,2,3
bank,-9361738.421541842,4288278.59756016,35.9102476,-84.0979271,2,3
pub,-9341890.779722549,4295902.234345107,35.9656961,-83.9196327,3,0
fast_food,-9353275.746872501,4301036.308127344,36.0030155,-84.0219056,4,4
fast_food,-9353080.793048276,4301802.829203434,36.0085858,-84.0201543,4,4
bank,-9353080.793048276,4301624.882721277,36.0072927,-84.0201543,4,4
restaurant,-9353247.393798195,4301512.014614752,36.0064725,-84.0216509,4,4
restaurant,-9353099.895472895,4301489.322790207,36.0063076,-84.0203259,4,4
fast_food,-9352766.682841104,4301641.602493092,36.0074142,-84.0173326,4,4
fast_food,-9353227.089123074,4301637.41910744,36.0073838,-84.0214685,4,4
bank,-9353151.258285945,4301634.432941693,36.0073621,-84.0207873,4,4
fast_food,-9353073.624073068,4301853.594920867,36.0089547,-84.0200899,4,4
restaurant,-9353072.432954516,4301865.539830082,36.0090415,-84.0200792,4,4
fast_food,-9353015.515298873,4301315.688556404,36.0050458,-84.0195679,4,4
restaurant,-9352945.829297638,4301646.96933889,36.0074532,-84.0189419,4,4
fuel,-9353687.80709962,4301660.413987329,36.0075509,-84.0256072,4,4
fast_food,-9353913.340387968,4301548.426216503,36.0067371,-84.0276332,4,4
fast_food,-9353569.864099126,4301527.537005997,36.0065853,-84.0245477,4,4
fast_food,-9353790.221031152,4301654.730628279,36.0075096,-84.0265272,4,4
fast_food,-9353520.60522445,4301634.130196824,36.0073599,-84.0241052,4,4
fast_food,-9351220.533037629,4291790.565581205,35.9357958,-84.0034433,0,-1
loading_dock,-9342219.316935727,4295159.055901412,35.9602925,-83.922584,3,0
fast_food,-9343336.652928717,4294658.172194327,35.9566504,-83.9326212,3,0
restaurant,-9342706.005749477,4304479.493161541,36.028034,-83.926956,1,1
restaurant,-9341950.179802839,4295907.254507146,35.9657326,-83.9201663,3,0
restaurant,-9341880.916815665,4295765.466768572,35.9647017,-83.9195441,3,0
restaurant,-9341912.308912069,4295830.521927579,35.9651747,-83.9198261,3,0
restaurant,-9341906.208603973,4295817.043236836,35.9650767,-83.9197713,3,0
restaurant,-9341897.336440558,4295799.617240027,35.96495,-83.9196916,3,0
restaurant,-9341861.647411808,4295850.09356647,35.965317,-83.919371,3,0
restaurant,-9341845.79551632,4295813.1371704005,35.9650483,-83.9192286,3,0
restaurant,-9341198.851163626,4295107.688850589,35.959919,-83.913417,3,0
restaurant,-9341859.454417842,4295602.266682997,35.9635151,-83.9193513,3,0
restaurant,-9341853.187130509,4295837.041218696,35.9652221,-83.919295,3,0
bank,-9341813.857954413,4295603.875840924,35.9635268,-83.9189417,3,0
restaurant,-9353022.995968655,4287531.803508448,35.9048139,-84.0196351,0,-1
fuel,-9366540.9113539,4287350.69611936,35.9034961,-84.1410686,2,7
fast_food,-9366495.014327846,4287369.647798507,35.903634,-84.1406563,2,7
fuel,-9366544.18414693,4287409.777641446,35.903926,-84.141098,2,7
restaurant,-9350657.991122855,4307370.928448547,36.0490373,-83.9983899,4,-1
fast_food,-9349278.230562268,4292370.485826814,35.9400137,-83.9859953,0,5
restaurant,-9353089.008426694,4287460.37993529,35.9042942,-84.0202281,0,-1
cafe,-9341804.974659046,4295800.34618803,35.9649553,-83.9188619,3,0
cafe,-9341914.268135106,4295473.094714982,35.9625759,-83.9198437,3,0
restaurant,-9333237.503821073,4287891.677156075,35.9074324,-83.841899,3,6
fast_food,-9362678.136155324,4287867.914270769,35.9072595,-84.1063687,2,3
bank,-9362510.555793883,4288041.498602028,35.9085225,-84.1048633,2,3
restaurant,-9366349.37503804,4286926.896274203,35.9004123,-84.139348,2,7
boat_storage,-9342152.30260227,4294481.676736712,35.955367,-83.921982,3,0
cinema,-9341703.36222785,4295794.225777064,35.9649108,-83.9179491,3,0
parking,-9336277.527795145,4294385.646479545,35.9546687,-83.869208,3,-1
toilets,-9336029.407782117,4294632.702982873,35.9564652,-83.8669791,3,-1
toilets,-9336326.630822536,4294781.902253275,35.9575501,-83.8696491,3,-1
parking,-9338044.869426828,4296665.903311658,35.9712483,-83.8850843,3,-1
parking,-9355381.277117213,4299582.966166964,35.992453,-84.0408199,4,-1
